filename,duration_seconds,duration_label,overall_score,looking_away,frequent_looking_away,face_not_visible,excessive_head_movement,noticeable_fidgeting,distracted_by_offscreen_activity,camera_or_video_issue,reading_from_screen_or_notes,looking_down_frequently,body_out_of_frame,poor_lighting,background_distraction_visible,hand_to_face_or_hair,annotation_quality,notes
sample31.mp4,298.06,04:58,,,,,,,,,,,,,,,,
sample1.mp4,301.9,05:01,,,,,,,,,,,,,,,,
sample2.mp4,268.27,04:28,,,,,,,,,,,,,,,,
sample3.mp4,29.28,00:29,,,,,,,,,,,,,,,,
sample4.mp4,95.63,01:35,,,,,,,,,,,,,,,,
sample5.mp4,298.93,04:58,,,,,,,,,,,,,,,,
sample6.mp4,248.47,04:08,,,,,,,,,,,,,,,,
sample7.mp4,293.52,04:53,,,,,,,,,,,,,,,,
sample8.mp4,192.8,03:12,,,,,,,,,,,,,,,,
sample9.mp4,196.93,03:16,,,,,,,,,,,,,,,,
sample10.mp4,250.53,04:10,,,,,,,,,,,,,,,,
sample11.mp4,234.94,03:54,,,,,,,,,,,,,,,,
sample12.mp4,262.14,04:22,,,,,,,,,,,,,,,,
sample13.mp4,180.48,03:00,,,,,,,,,,,,,,,,
sample14.mp4,345.77,05:45,,,,,,,,,,,,,,,,
sample15.mp4,124.52,02:04,,,,,,,,,,,,,,,,
sample16.mp4,198.57,03:18,,,,,,,,,,,,,,,,
sample17.mp4,170.93,02:50,,,,,,,,,,,,,,,,
sample18.mp4,186.57,03:06,,,,,,,,,,,,,,,,
sample19.mp4,264.2,04:24,,,,,,,,,,,,,,,,
sample20.mp4,264.63,04:24,,,,,,,,,,,,,,,,
sample21.mp4,236.23,03:56,,,,,,,,,,,,,,,,
sample22.mp4,179.52,02:59,,,,,,,,,,,,,,,,
sample23.mp4,277.8,04:37,,,,,,,,,,,,,,,,
sample24.mp4,294.5,04:54,,,,,,,,,,,,,,,,
sample25.mp4,185.84,03:05,,,,,,,,,,,,,,,,
sample26.mp4,284.23,04:44,,,,,,,,,,,,,,,,
sample27.mp4,202.37,03:22,,,,,,,,,,,,,,,,
sample28.mp4,283.93,04:43,,,,,,,,,,,,,,,,
sample29.mp4,235.03,03:55,,,,,,,,,,,,,,,,
sample30.mp4,231.8,03:51,,,,,,,,,,,,,,,,
sample32.mp4,239.17,03:59,,,,,,,,,,,,,,,,
sample33.mp4,277.39,04:37,,,,,,,,,,,,,,,,
sample34.mp4,298.3,04:58,,,,,,,,,,,,,,,,
sample35.mp4,278.42,04:38,,,,,,,,,,,,,,,,
sample36.mp4,187.87,03:07,,,,,,,,,,,,,,,,
sample37.mp4,214.16,03:34,,,,,,,,,,,,,,,,
sample38.mp4,301.63,05:01,,,,,,,,,,,,,,,,
sample39.mp4,341.13,05:41,,,,,,,,,,,,,,,,
sample40.mp4,208.5,03:28,,,,,,,,,,,,,,,,
sample41.mp4,305.07,05:05,,,,,,,,,,,,,,,,
